SMILES,Name,pIC50
C[C@@H]1CNC[C@H]2Cc3ccc(Cl)nc3N21,CHEMBL203230,4.4
Cc1cc2c(F)c(Oc3ncnn4cc(OC[C@@H](C)O)c(C)c34)ccc2[nH]1,CHEMBL377300,4.75
COC[C@@H](O)COc1cn2ncnc(Oc3ccc4[nH]c(C)cc4c3F)c2c1C,CHEMBL205710,4.75
Cc1cc2c(F)c(Oc3ncnn4cc(OCCCS(C)(=O)=O)c(C)c34)ccc2[nH]1,CHEMBL383077,4.7
N[C@H](C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1)C1CC1,CHEMBL204459,5.325
CN(C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1)C1CCNCC1,CHEMBL205437,5.89
O=C([C@@H](O)C1CC1)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1,CHEMBL382165,4.96
CC(C)(C)[C@H](NC(=O)OCCO)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1,CHEMBL202788,4.6
CC(C)(C)[C@H](N)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1,CHEMBL204408,5.82
CC(C)[C@H](N)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1,CHEMBL379690,5.62
CC(C)(CN)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1,CHEMBL203045,5.66
CN(CCCN)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1,CHEMBL382587,5.89
CC(C)(C)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1cccc(O)c1,CHEMBL378547,5.11
CN(C(=O)N1CC(c2cc(F)ccc2F)=CC1c1cccc(O)c1)C1CCNCC1,CHEMBL206249,5.18
CN(CCO)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1cccc(O)c1,CHEMBL206798,4.82
CN(C)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1cccc(O)c1,CHEMBL381533,4.48
CC(C)(C)[C@H](O)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1cccc(O)c1,CHEMBL262736,5.11
O=C([C@@H](O)C1CC1)N1CC(c2cc(F)ccc2F)=C[C@H]1c1cccc(O)c1,CHEMBL377596,4.75
N[C@H](C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1cccc(O)c1)C1CC1,CHEMBL206115,5.25
CC(C)[C@H](N)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1cccc(O)c1,CHEMBL381526,5.07
CC(=O)Nc1cccc(N2CCN(CCCCNS(=O)(=O)c3ccc(C)cc3)CC2)c1,CHEMBL210537,6.52
CC(=O)Nc1cccc(N2CCN(CCCCN(C)S(=O)(=O)CC(C)C)CC2)c1,CHEMBL207478,5.66
CC(=O)Nc1cccc(N2CCN(CCCCN(C)S(=O)(=O)CC3CCCCC3)CC2)c1,CHEMBL207220,5.4
CC(=O)Nc1cccc(N2CCN(CCCCNS(=O)(=O)CC(C)C)CC2)c1,CHEMBL379984,5.52
O=C(Nc1cccc(N2CCN(CCCCNS(=O)(=O)CC3CCCCC3)CC2)c1)C1CC1,CHEMBL377697,5.82
CC(=O)Nc1cccc(N2CCN(CCCCNS(=O)(=O)CC3CCCCC3)CC2)c1,CHEMBL209821,5.42
CC(=O)Nc1cccc(N2CCN(CC3CCN(S(=O)(=O)CC4CCCCC4)CC3)CC2)c1,CHEMBL211012,5.7
CN(C)C(=O)[C@@H](c1ccc(-c2ccn3ncnc3c2)cc1)[C@H](N)C(=O)N1CCC(F)(F)C1.O=C(O)C(F)(F)F,CHEMBL210829,4.8
CC(=O)N1N=C(c2cc(F)ccc2F)C[C@H]1c1cccc(O)c1,CHEMBL195232,4.58
CN(C)C(=O)N1N=C(c2cc(F)ccc2F)C[C@@]1(CCCN)c1ccccc1,CHEMBL377566,4.71
O=C(NC1CC1)c1cc(NCc2cnc(Nc3ccccn3)s2)c(F)cc1F,CHEMBL377734,4.78
CN[C@@H]1CCN(c2ccc(-n3ncc4cc(-c5ccc(C(F)(F)F)cc5)sc4c3=O)cn2)C1,CHEMBL377241,5.75
O=C1NCC(c2ccc(F)cc2)C12CCN(C1(c3ccc(F)cc3)CCCCC1)CC2,CHEMBL377114,5.89
CCOc1ccccc1C[C@H](c1ccccc1)N1CCNCC1.Cl,CHEMBL534723,4.8
O=C1NCC(c2ccccc2)C12CCN(C1CCCCC1(O)c1ccc(F)cc1)CC2,CHEMBL214122,5.75
O=C1NC[C@@H](c2ccccc2)C12CCN(C1CCCCC1c1ccccc1)CC2,CHEMBL2096837,5.85
COc1ccc2c(=O)cc(C(=O)NC3CCN(Cc4ccc5c(c4)OCO5)CC3)oc2c1,CHEMBL206081,7.94
N#Cc1ccc2c(=O)cc(C(=O)NC3CCN(Cc4ccc5c(c4)OCO5)CC3)oc2c1,CHEMBL387417,8.3
O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2ccc(F)cc2o1,CHEMBL214021,6.81
O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2ccc(Cl)cc2o1,CHEMBL217789,8.44
O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2ccc(Br)cc2o1,CHEMBL217706,8.6
CCc1ccc2c(=O)cc(C(=O)NC3CCN(Cc4ccc5c(c4)OCO5)CC3)oc2c1,CHEMBL214377,8.13
O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2ccc(OC(F)F)cc2o1,CHEMBL213715,8.44
O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2ccc(O)cc2o1,CHEMBL215631,7.2
O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2cc(F)ccc2o1,CHEMBL214731,6.61
O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2cc(F)c(F)cc2o1,CHEMBL387178,8.21
COc1cc2oc(C(=O)NC3CCN(Cc4ccc5c(c4)OCO5)CC3)cc(=O)c2cc1F,CHEMBL217442,7.8
O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2cc(F)c(Cl)cc2o1,CHEMBL387418,7.98
O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2ccccc2o1,CHEMBL214767,8.17
O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2cc(Cl)c(Cl)cc2o1,CHEMBL204828,8.85
O=C(NC1CCN(Cc2ccccc2)CC1)c1cc(=O)c2ccc(F)cc2o1,CHEMBL213761,7.7
O=C(NC1CCN(Cc2ccc3c(c2)OC(F)(F)O3)CC1)c1cc(=O)c2ccc(F)cc2o1,CHEMBL217707,8.25
CC(=O)Nc1ccc(CN2CCC(NC(=O)c3cc(=O)c4ccc(F)cc4o3)CC2)cc1,CHEMBL216680,5.82
CC(=O)c1ccc(CN2CCC(NC(=O)c3cc(=O)c4ccc(F)cc4o3)CC2)cc1,CHEMBL384487,7.69
COc1ccc(CN2CCC(NC(=O)c3cc(=O)c4ccc(F)cc4o3)CC2)cc1F,CHEMBL214768,6.575
COc1ccc(CN2CCC(NC(=O)c3cc(=O)c4ccc(F)cc4o3)CC2)c(F)c1,CHEMBL387309,7.83
O=C(NC1CCN(Cc2cccc(F)c2)CC1)c1cc(=O)c2ccc(F)cc2o1,CHEMBL216225,7.67
COc1ccc(CN2CCC(NC(=O)c3cc(=O)c4ccc(F)cc4o3)CC2)cc1,CHEMBL217593,8.27
COc1cccc(CN2CCC(NC(=O)c3cc(=O)c4ccc(F)cc4o3)CC2)c1,CHEMBL217400,7.98
O=C(NC1CCN(Cc2ccc3c(c2)OCCO3)CC1)c1cc(=O)c2ccc(F)cc2o1,CHEMBL425448,7.91
O=C(NC1CCN(Cc2cc3c(cc2Cl)OCO3)CC1)c1cc(=O)c2ccc(F)cc2o1,CHEMBL217105,7.87
COc1ccc2c(=O)n(CC(O)CO)c(C#N)c(-c3cccc(F)c3)c2c1,CHEMBL215023,4.48
COc1ccc2c(=O)n(CC(O)CO)c(C#N)c(-c3cccc(C(F)(F)F)c3)c2c1,CHEMBL216168,4.8
COc1ccc2c(=O)n(C[C@@H](O)CO)c(C#N)c(-c3ccccc3)c2c1,CHEMBL217571,4.12
COc1ccc2c(=O)n(CC(CO)NCc3cccnc3)c(C#N)c(-c3ccccc3)c2c1,CHEMBL214553,5.0
COCCN(C)CCn1c(C#N)c(-c2cccc(F)c2)c2cc(OC)ccc2c1=O,CHEMBL215050,5.78
COc1ccc2c(=O)n(CCO)c(C#N)c(-c3cccc(F)c3)c2c1,CHEMBL214969,4.21
COc1ccc2c(-n3cnc(C)c3)nc(C#N)c(-c3cccc(F)c3)c2c1,CHEMBL215818,4.68
COc1ccc2c(NC[C@H](O)CO)nc(C#N)c(-c3ccccc3)c2c1,CHEMBL214876,4.82
